Year,Team,off_G,off_PA,off_HR,off_R,off_RBI,off_SB,off_BB%,off_K%,off_ISO,off_BABIP,off_AVG,off_OBP,off_SLG,off_wOBA,off_wRC+,off_BsR,off_Off,off_Def,off_WAR,pit_W,pit_L,pit_SV,pit_G,pit_GS,pit_IP,pit_R,pit_K/9,pit_BB/9,pit_HR/9,pit_BABIP,pit_LOB%,pit_GB%,pit_HR/FB,pit_ERA,pit_FIP,pit_xFIP,pit_WAR,def_Inn,def_rSB,def_rGDP,def_rARM,def_rGFP,def_rPM,def_DRS,def_BIZ,def_Plays,def_RZR,def_OOZ,def_CPP,def_RPP,def_TZL,def_FSR,def_ARM,def_DPR,def_RngR,def_ErrR,def_UZR,def_UZR/150,def_Def,lgID,teamID,G,W,L,DivWin,WCWin,LgWin,WSWin,playoffs
2002,Astros,2342,6252,167,749,719,71,0.094,0.179,0.156,0.3,0.262,0.338,0.417,0.329,94,-6.2,-50.9,33.4,18.6,84,78,43,642,162,1445.0,695,7.59,3.4,0.94,0.3,0.733,0.446,10.5 %,4.0,3.88,3.91,19.3,13005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,7.8,1.1,-21.8,9.2,-3.7,0.8,-3.7,NL,Astros,162,84,78,N,N,N,N,False
1972,Red Sox,1857,5866,124,640,594,66,0.089,0.146,0.129,0.273,0.248,0.318,0.376,0.317,101,3.7,7.2,-12.5,18.6,85,70,25,371,155,1382.2,620,5.98,3.33,0.66,0.281,0.722,,,3.5,3.22,,17.2,,,,,,,,,,,,,,,,,,,,,,,AL,Red Sox,155,85,70,N,,N,N,False
2008,Twins,2287,6331,111,829,791,102,0.084,0.155,0.129,0.316,0.279,0.34,0.408,0.328,99,12.3,4.7,-35.2,18.6,88,75,42,648,163,1459.0,745,6.14,2.5,1.13,0.301,0.721,0.42,10.2 %,4.18,4.3,4.29,13.3,13131.0,-3.0,5.0,4.0,0.0,-35.0,-25.0,2541.0,2083.0,0.82,385.0,41.0,-1.5,,,-4.7,1.7,-4.8,-6.1,-13.9,-2.4,-12.4,AL,Twins,163,88,75,N,N,N,N,False
1925,Reds,1722,5833,44,690,622,108,0.07,0.056,0.102,0.297,0.285,0.339,0.386,0.337,88,-14.0,-109.2,96.6,18.5,80,73,12,256,153,1375.1,643,2.86,2.12,0.23,0.284,0.662,,,3.37,3.58,,21.5,,,,,,,,,,,,,,,,,,,,,,,NL,Reds,153,80,73,,,N,N,False
1918,Giants,1333,4589,13,480,400,130,0.059,0.08,0.071,0.282,0.26,0.31,0.33,0.314,98,2.6,-8.9,34.3,18.5,71,53,10,195,124,1111.2,415,2.67,1.85,0.16,0.252,0.684,,,2.64,2.55,,10.9,,,,,,,,,,,,,,,,,,,,,,,NL,NY1,124,71,53,,,N,N,False
1959,Red Sox,2012,5985,125,726,678,68,0.105,0.135,0.13,0.279,0.256,0.335,0.385,0.324,93,5.7,-43.6,52.3,18.5,75,79,25,376,154,1364.0,696,4.78,3.89,0.89,0.28,0.72,,,4.17,4.12,,14.2,,,,,,,,,,,,,,,,,,,,,,,AL,Red Sox,154,75,79,,,N,N,False
2003,Blue Jays,2278,6364,190,894,853,37,0.086,0.17,0.175,0.313,0.279,0.349,0.455,0.347,108,-5.7,56.6,-88.7,18.4,86,76,35,605,162,1435.0,826,6.17,3.04,1.15,0.302,0.692,0.464,12.7 %,4.69,4.46,4.26,15.1,12915.0,-8.0,-1.0,-12.0,0.0,-12.0,-47.0,2617.0,1908.0,0.729,346.0,,,,,-14.5,-5.9,-43.2,-1.8,-65.5,-11.8,-84.5,AL,Blue Jays,162,86,76,N,N,N,N,False
2008,Orioles,2340,6211,172,782,750,81,0.086,0.159,0.162,0.296,0.267,0.333,0.429,0.333,99,-5.1,-17.0,-11.0,18.4,68,93,35,653,161,1422.0,869,5.84,4.35,1.16,0.298,0.701,0.446,10.7 %,5.15,5.14,5.04,3.7,12798.0,-2.0,-3.0,16.0,2.0,-32.0,-22.0,2537.0,2078.0,0.819,403.0,66.0,-4.5,,,12.2,-5.1,0.4,3.5,10.9,2.8,-2.6,AL,Orioles,161,68,93,N,N,N,N,False
2004,Rangers,2240,6256,227,860,825,69,0.08,0.176,0.191,0.291,0.266,0.329,0.457,0.336,95,18.0,-25.9,1.3,18.4,89,73,52,630,162,1439.2,794,6.12,3.42,1.14,0.297,0.718,0.445,11.0 %,4.54,4.64,4.62,14.9,12957.0,-1.0,-3.0,-9.0,-3.0,-22.0,-26.0,2700.0,2009.0,0.744,321.0,,,,,-1.1,-2.2,26.8,-6.4,17.2,1.9,22.2,AL,Rangers,162,89,73,N,N,N,N,False
1993,Expos/Nationals,2314,6233,122,732,682,228,0.087,0.138,0.129,0.282,0.257,0.326,0.386,0.316,90,23.6,-53.2,16.8,18.4,94,68,61,548,163,1456.2,682,5.77,3.22,0.74,0.274,0.709,,,3.55,3.94,,15.1,,,,,,,,,,,,,,,,,,,,,,,NL,MON,163,94,68,N,,N,N,False
2013,Padres,2359,6122,146,618,578,118,0.076,0.214,0.133,0.294,0.245,0.308,0.378,0.302,93,8.4,-40.6,29.5,18.4,76,86,40,650,162,1455.0,700,7.24,3.25,0.96,0.292,0.725,0.458,10.8 %,3.98,4.0,3.96,8.8,13095.0,6.0,-3.0,-7.0,2.0,21.0,6.0,2199.0,1829.0,0.832,521.0,69.0,4.8,,-24.0,-6.9,-3.8,-14.2,11.7,-13.2,-3.4,-4.4,NL,SDN,162,76,86,N,N,N,N,False
1986,Expos/Nationals,2219,6174,110,637,602,193,0.087,0.165,0.124,0.292,0.254,0.322,0.379,0.311,94,0.0,-45.0,22.3,18.3,78,83,50,487,161,1466.1,688,6.45,3.47,0.73,0.277,0.708,,,3.79,3.62,,15.7,,,,,,,,,,,,,,,,,,,,,,,NL,MON,161,78,83,N,,N,N,False
1976,Padres,2129,6050,64,570,528,92,0.081,0.118,0.09,0.273,0.247,0.31,0.337,0.299,89,-0.2,-72.5,47.5,18.3,73,89,18,420,162,1432.1,662,4.1,3.41,0.55,0.268,0.701,,,3.65,3.69,,8.0,,,,,,,,,,,,,,,,,,,,,,,NL,SDN,162,73,89,N,,N,N,False
1983,Giants,2120,6127,142,687,638,140,0.101,0.162,0.129,0.276,0.247,0.325,0.376,0.315,97,-3.8,-27.1,3.4,18.3,79,83,47,438,162,1445.2,697,5.48,3.24,0.79,0.281,0.712,,,3.73,3.82,,11.7,,,,,,,,,,,,,,,,,,,,,,,NL,SFN,162,79,83,N,,N,N,False
1998,Reds,2270,6269,138,750,723,95,0.097,0.177,0.14,0.303,0.262,0.337,0.402,0.326,92,0.6,-63.1,52.5,18.3,77,85,42,528,162,1441.1,760,6.86,3.58,1.06,0.285,0.708,,,4.44,4.45,,12.8,,,,,,,,,,,,,,,,,,,,,,,NL,Reds,162,77,85,N,N,N,N,False
1943,White Sox,1625,5905,33,573,508,173,0.095,0.099,0.073,0.273,0.247,0.322,0.32,0.313,91,0.5,-57.9,38.5,18.3,82,72,19,264,155,1400.1,594,3.06,3.22,0.35,0.266,0.714,,,3.2,3.38,,11.2,,,,,,,,,,,,,,,,,,,,,,,AL,CHA,155,82,72,,,N,N,False
1975,Cardinals,2107,6206,81,662,619,116,0.072,0.104,0.103,0.294,0.273,0.327,0.376,0.32,95,5.3,-30.1,1.2,18.3,82,80,36,435,163,1454.2,689,5.1,3.53,0.61,0.283,0.711,,,3.58,3.56,,14.1,,,,,,,,,,,,,,,,,,,,,,,NL,SLN,163,82,80,N,,N,N,False
1999,Mariners,1915,6310,244,859,825,130,0.097,0.174,0.186,0.293,0.269,0.343,0.455,0.346,105,5.8,47.4,-71.7,18.3,79,83,40,508,162,1433.2,905,6.15,4.29,1.2,0.313,0.697,,,5.25,5.08,,9.1,,,,,,,,,,,,,,,,,,,,,,,AL,Mariners,162,79,83,N,N,N,N,False
1994,Cardinals,1514,4450,108,535,506,76,0.098,0.154,0.151,0.292,0.263,0.339,0.414,0.329,97,-5.0,-25.8,63.6,18.3,53,61,29,445,115,1018.0,621,5.59,3.14,1.18,0.308,0.681,,,5.17,4.76,,3.0,,,,,,,,,,,,,,,,,,,,,,,NL,SLN,115,53,61,,,,,False
1922,Cubs,1746,6089,42,769,667,97,0.086,0.073,0.097,0.314,0.293,0.359,0.39,0.351,93,-13.2,-70.6,34.6,18.3,80,74,12,294,159,1397.2,808,2.59,3.06,0.5,0.295,0.65,,,4.34,4.29,,10.8,,,,,,,,,,,,,,,,,,,,,,,NL,CHN,156,80,74,,,N,N,False
2006,Royals,2272,6229,124,757,718,65,0.076,0.167,0.14,0.311,0.271,0.332,0.411,0.323,92,3.0,-64.6,37.7,18.3,62,100,35,635,162,1426.1,971,5.7,4.02,1.34,0.311,0.671,0.422,12.1 %,5.67,5.29,5.09,0.5,12837.0,3.0,9.0,-3.0,0.0,21.0,30.0,2556.0,2136.0,0.836,357.0,,,,,5.6,2.1,44.5,-1.7,50.6,7.6,58.6,AL,KCA,162,62,100,N,N,N,N,False
1937,Braves,1621,5731,63,578,534,45,0.085,0.123,0.092,0.276,0.247,0.314,0.339,0.307,85,5.9,-103.9,100.3,18.2,79,73,10,255,152,1359.1,556,2.56,2.46,0.4,0.266,0.713,,,3.22,3.89,,9.7,,,,,,,,,,,,,,,,,,,,,,,NL,BSN,152,79,73,,,N,N,False
2005,Marlins,2296,6214,128,717,678,96,0.082,0.148,0.137,0.304,0.272,0.339,0.409,0.326,98,-7.1,-23.0,2.5,18.2,83,79,42,611,162,1442.1,732,7.02,3.51,0.72,0.308,0.704,0.452,8.2 %,4.19,3.81,4.13,21.2,12981.0,-1.0,-1.0,1.0,-5.0,-69.0,-74.0,2587.0,1871.0,0.723,326.0,,,,,7.8,5.1,-50.8,2.1,-35.7,-3.2,-41.7,NL,FLO,162,83,79,N,N,N,N,False
1985,Cubs,2243,6177,150,686,640,182,0.091,0.152,0.136,0.281,0.254,0.324,0.39,0.317,92,15.0,-39.5,12.8,18.2,77,84,42,475,162,1442.1,729,5.12,3.24,0.97,0.286,0.719,,,4.17,4.08,,12.0,,,,,,,,,,,,,,,,,,,,,,,NL,CHN,162,77,84,N,,N,N,False
1995,Dodgers,2032,5544,140,634,593,127,0.084,0.185,0.136,0.305,0.264,0.329,0.4,0.322,98,4.4,-11.9,11.1,18.2,78,66,37,499,144,1295.0,609,7.37,3.21,0.87,0.28,0.713,,,3.67,3.88,,16.4,,,,,,,,,,,,,,,,,,,,,,,NL,LAN,144,78,66,Y,N,N,N,True
2001,Dodgers,2084,6169,206,758,714,89,0.084,0.172,0.17,0.279,0.255,0.323,0.425,0.322,97,-0.7,-23.8,9.0,18.2,86,76,46,570,162,1450.2,744,7.52,3.25,1.14,0.286,0.718,,,4.25,4.26,,16.4,,,,,,,,,,,,,,,,,,,,,,,NL,LAN,162,86,76,N,N,N,N,False
1920,Twins,1627,5938,36,724,616,160,0.073,0.091,0.096,0.318,0.29,0.351,0.386,0.349,98,6.6,-6.5,-18.9,18.2,68,84,10,255,153,1367.0,797,2.75,3.42,0.34,0.3,0.64,,,4.17,3.86,,7.4,,,,,,,,,,,,,,,,,,,,,,,AL,WS1,153,68,84,,,N,N,False
1982,Red Sox,1674,6262,136,753,705,42,0.087,0.118,0.132,0.294,0.274,0.34,0.407,0.335,100,-6.9,-6.0,-17.0,18.2,89,73,33,376,162,1453.0,713,5.05,2.96,0.96,0.294,0.732,,,4.04,4.04,,14.7,,,,,,,,,,,,,,,,,,,,,,,AL,Red Sox,162,89,73,N,,N,N,False
1981,Yankees,1162,3994,100,421,403,47,0.098,0.109,0.139,0.261,0.252,0.325,0.391,0.327,109,-1.6,39.0,8.3,18.2,59,48,30,268,107,948.0,343,5.75,2.72,0.61,0.263,0.755,,,2.9,3.14,,15.6,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,107,59,48,Y,,Y,N,True
2004,Marlins,2223,6160,148,718,677,96,0.081,0.157,0.143,0.295,0.264,0.329,0.406,0.321,94,0.5,-51.1,30.1,18.2,83,79,53,566,162,1439.0,700,6.98,3.21,1.04,0.288,0.729,0.437,10.7 %,4.1,4.17,4.21,16.6,12951.0,-3.0,2.0,-8.0,8.0,17.0,9.0,2378.0,1779.0,0.748,349.0,,,,,-14.6,6.0,-11.6,12.8,-7.5,-3.2,-16.5,NL,FLO,162,83,79,N,N,N,N,False
1940,Giants,1713,5900,91,663,614,45,0.077,0.081,0.106,0.28,0.267,0.329,0.374,0.325,92,5.9,-51.4,51.2,18.2,72,80,18,318,152,1360.1,660,4.01,3.13,0.73,0.275,0.706,,,3.79,4.08,,12.3,,,,,,,,,,,,,,,,,,,,,,,NL,NY1,152,72,80,,,N,N,False
1981,Reds,1399,4115,64,461,427,58,0.091,0.134,0.118,0.296,0.267,0.335,0.386,0.328,104,-2.0,15.0,17.1,18.2,66,42,20,290,108,965.2,440,5.53,3.66,0.62,0.265,0.705,,,3.73,3.53,,8.5,,,,,,,,,,,,,,,,,,,,,,,NL,Reds,108,66,42,N,,N,N,False
2008,Yankees,2330,6257,180,789,758,118,0.086,0.162,0.156,0.302,0.271,0.342,0.427,0.338,104,-6.7,24.3,-56.3,18.2,89,73,42,637,162,1441.2,727,7.12,3.05,0.89,0.307,0.71,0.457,9.3 %,4.28,3.96,4.08,19.9,12975.0,2.0,-1.0,9.0,8.0,-55.0,-41.0,2409.0,1968.0,0.817,356.0,61.0,-0.2,,,4.9,-3.3,-47.6,3.5,-42.5,-5.1,-39.7,AL,NYA,162,89,73,N,N,N,N,False
2014,Twins,2292,6233,128,715,675,99,0.087,0.213,0.135,0.309,0.254,0.324,0.389,0.316,100,21.1,24.0,-59.1,18.1,70,92,38,653,162,1435.0,777,6.47,2.56,0.92,0.315,0.689,0.418,8.6 %,4.58,3.97,4.12,11.2,12915.0,-9.0,-1.0,2.0,11.0,-66.0,-69.0,2414.0,1997.0,0.827,428.0,67.0,0.0,,-34.0,2.7,-0.7,-39.2,2.7,-34.5,-3.8,-46.5,AL,Twins,162,70,92,N,N,N,N,False
2005,Astros,2324,6139,161,693,654,115,0.078,0.169,0.152,0.288,0.256,0.322,0.408,0.318,90,-0.1,-77.8,58.5,18.1,89,73,45,597,163,1443.0,609,7.26,2.74,0.97,0.281,0.758,0.464,11.3 %,3.52,3.84,3.75,22.6,12987.0,0.0,0.0,7.0,9.0,42.0,62.0,2513.0,1882.0,0.749,402.0,,,,,2.1,-0.1,19.9,1.5,23.5,3.7,28.5,NL,Astros,163,89,73,N,Y,Y,N,True
2005,Mets,2213,6146,175,722,683,153,0.079,0.175,0.158,0.29,0.258,0.322,0.416,0.32,93,21.0,-32.8,13.2,18.1,83,79,38,554,162,1435.2,648,6.34,3.08,0.85,0.283,0.737,0.442,8.8 %,3.77,3.98,4.23,17.4,12921.0,-9.0,4.0,8.0,1.0,-14.0,-18.0,2681.0,1993.0,0.743,353.0,,,,,17.8,-0.4,-24.0,-7.7,-14.4,1.1,-33.4,NL,NYN,162,83,79,N,N,N,N,False
1975,Astros,2092,6194,84,663,606,133,0.084,0.122,0.105,0.279,0.254,0.32,0.359,0.311,94,3.6,-40.2,10.4,18.1,64,97,25,427,162,1458.1,711,5.18,4.19,0.65,0.284,0.719,,,4.05,3.85,,6.5,,,,,,,,,,,,,,,,,,,,,,,NL,Astros,162,64,97,N,,N,N,False
1978,Pirates,2025,6035,115,682,631,208,0.079,0.145,0.128,0.286,0.257,0.32,0.385,0.316,94,8.2,-33.2,3.6,18.1,88,73,44,433,161,1444.2,637,5.48,3.11,0.64,0.273,0.719,,,3.42,3.4,,17.6,,,,,,,,,,,,,,,,,,,,,,,NL,Pirates,161,88,73,N,,N,N,False
1966,White Sox,2260,6016,87,574,524,153,0.079,0.145,0.1,0.259,0.231,0.297,0.331,0.28,86,4.2,-87.2,96.7,18.1,83,79,34,402,163,1475.1,517,5.47,2.46,0.62,0.248,0.754,,,2.68,3.12,,17.8,,,,,,,,,,,,,,,,,,,,,,,AL,CHA,163,83,79,,,N,N,False
2014,Devil Rays/Rays,2352,6205,117,612,586,63,0.085,0.181,0.12,0.287,0.247,0.317,0.367,0.305,97,1.3,-19.6,-15.1,18.1,77,85,37,656,162,1463.2,625,8.84,2.96,0.89,0.286,0.741,0.408,9.1 %,3.56,3.56,3.62,16.8,13173.0,-1.0,-4.0,-4.0,-4.0,-13.0,-27.0,2096.0,1702.0,0.812,500.0,73.0,-3.0,,25.0,1.8,-4.1,12.1,-3.3,6.5,0.7,4.5,AL,TBA,162,77,85,N,N,N,N,False
1973,Astros,1996,6153,134,681,634,92,0.076,0.156,0.124,0.281,0.251,0.312,0.376,0.31,92,2.2,-58.0,37.7,18.1,82,80,26,430,162,1460.2,672,5.59,3.54,0.68,0.277,0.719,,,3.78,3.55,,14.6,,,,,,,,,,,,,,,,,,,,,,,NL,Astros,162,82,80,N,,N,N,False
1982,Giants,2233,6227,133,673,631,130,0.097,0.147,0.122,0.28,0.253,0.327,0.376,0.315,99,4.0,-4.2,-34.3,18.1,87,75,45,485,162,1465.1,687,4.97,2.86,0.67,0.29,0.71,,,3.67,3.58,,11.3,,,,,,,,,,,,,,,,,,,,,,,NL,SFN,162,87,75,N,,N,N,False
1934,Pirates,1710,5878,52,735,679,44,0.075,0.068,0.11,0.303,0.287,0.344,0.398,0.343,98,6.2,-10.9,5.5,18.1,74,76,8,310,151,1329.2,712,3.3,2.4,0.53,0.296,0.665,,,4.2,4.02,,14.3,,,,,,,,,,,,,,,,,,,,,,,NL,Pirates,151,74,76,,,N,N,False
1918,Pirates,1303,4667,15,466,391,200,0.079,0.061,0.072,0.264,0.248,0.315,0.321,0.314,92,15.6,-22.7,43.4,18.1,65,60,7,178,126,1140.1,411,2.9,2.36,0.1,0.255,0.702,,,2.48,2.6,,13.9,,,,,,,,,,,,,,,,,,,,,,,NL,Pirates,126,65,60,,,N,N,False
1938,Cardinals,1822,6038,91,725,680,55,0.068,0.081,0.128,0.293,0.279,0.331,0.407,0.339,98,8.9,-6.8,13.1,18.1,71,80,16,335,156,1384.2,721,3.47,3.08,0.5,0.286,0.672,,,3.84,3.95,,15.5,,,,,,,,,,,,,,,,,,,,,,,NL,SLN,156,71,80,,,N,N,False
1961,Pirates,1904,5867,128,694,646,26,0.073,0.123,0.137,0.293,0.273,0.328,0.41,0.326,95,-5.2,-44.6,26.8,18.1,75,79,29,390,154,1362.0,675,5.02,2.64,0.8,0.295,0.702,,,3.92,3.55,,19.1,,,,,,,,,,,,,,,,,,,,,,,NL,Pirates,154,75,79,,,N,N,False
1999,Brewers,2281,6433,165,815,777,81,0.102,0.166,0.153,0.309,0.273,0.353,0.426,0.342,97,1.4,-28.8,11.0,18.0,74,87,40,614,161,1442.2,886,6.16,3.84,1.33,0.305,0.704,,,5.08,5.07,,7.0,,,,,,,,,,,,,,,,,,,,,,,NL,Brewers,161,74,87,N,N,N,N,False
1979,Astros,2050,6029,49,583,542,190,0.076,0.124,0.088,0.287,0.256,0.315,0.344,0.295,86,1.3,-98.6,73.1,18.0,89,73,31,399,162,1447.2,582,5.31,3.13,0.56,0.262,0.729,,,3.2,3.45,,17.1,,,,,,,,,,,,,,,,,,,,,,,NL,Astros,162,89,73,N,,N,N,False
1962,Pirates,1959,6034,108,706,655,50,0.072,0.138,0.127,0.296,0.268,0.321,0.394,0.317,91,-5.1,-76.7,48.1,18.0,93,68,41,424,161,1432.1,626,5.64,2.93,0.74,0.289,0.737,,,3.37,3.46,,20.1,,,,,,,,,,,,,,,,,,,,,,,NL,Pirates,161,93,68,,,N,N,False
1978,Giants,2083,6100,117,611,576,87,0.091,0.133,0.126,0.271,0.248,0.318,0.374,0.312,95,-2.2,-35.7,3.3,18.0,89,73,29,401,162,1455.0,594,5.2,2.8,0.52,0.276,0.725,,,3.3,3.16,,19.3,,,,,,,,,,,,,,,,,,,,,,,NL,SFN,162,89,73,N,,N,N,False
1946,Cubs,1945,6010,56,625,565,43,0.097,0.099,0.093,0.278,0.254,0.331,0.347,0.325,95,5.4,-27.2,19.4,18.0,82,71,11,342,155,1393.0,580,3.93,3.4,0.37,0.274,0.728,,,3.24,3.23,,15.5,,,,,,,,,,,,,,,,,,,,,,,NL,CHN,155,82,71,,,N,N,False
2007,Cardinals,2440,6211,141,725,690,56,0.081,0.146,0.132,0.303,0.274,0.337,0.405,0.326,94,-12.7,-61.3,40.6,18.0,78,84,34,678,162,1435.2,829,5.92,3.19,1.05,0.293,0.681,0.435,9.6 %,4.67,4.66,4.67,9.8,12921.0,4.0,-3.0,-1.0,8.0,29.0,48.0,2476.0,2020.0,0.816,430.0,,,,,-0.6,-3.1,23.1,-17.7,1.8,0.0,11.8,NL,SLN,162,78,84,N,N,N,N,False
2005,White Sox,2208,6146,200,741,713,137,0.071,0.163,0.163,0.286,0.262,0.322,0.425,0.324,95,-1.9,-42.1,13.8,18.0,99,63,54,574,162,1475.2,645,6.34,2.8,1.02,0.275,0.754,0.436,10.5 %,3.61,4.12,4.14,23.0,13281.0,-3.0,5.0,-5.0,4.0,42.0,39.0,2635.0,1970.0,0.748,427.0,,,,,-7.2,3.4,33.5,3.3,33.1,3.2,26.1,AL,CHA,162,99,63,Y,N,Y,Y,True
2008,Tigers,2267,6331,200,821,780,63,0.09,0.17,0.173,0.301,0.271,0.34,0.444,0.343,106,-6.7,42.3,-78.7,18.0,74,88,34,602,162,1445.0,857,6.17,4.01,1.07,0.302,0.694,0.42,9.7 %,4.91,4.79,4.86,6.8,13005.0,2.0,2.0,-8.0,-11.0,-31.0,-32.0,2399.0,1965.0,0.819,421.0,57.0,-5.6,,,-8.0,-3.6,-42.4,-6.3,-60.3,-9.3,-57.9,AL,Tigers,162,74,88,N,N,N,N,False
2010,Marlins,2300,6194,152,719,686,92,0.083,0.222,0.149,0.309,0.254,0.321,0.403,0.318,92,22.5,-36.2,16.8,18.0,80,82,39,643,162,1438.1,717,7.31,3.44,0.84,0.301,0.713,0.436,8.1 %,4.09,3.92,4.11,14.6,12945.0,0.0,-3.0,10.0,7.0,-52.0,-39.0,2284.0,1845.0,0.808,439.0,64.0,1.5,,-15.0,9.2,-3.6,-13.9,-9.6,-17.9,-1.5,-16.4,NL,FLO,162,80,82,N,N,N,N,False
1974,White Sox,1811,6235,135,684,633,64,0.083,0.138,0.121,0.293,0.268,0.33,0.389,0.33,105,-5.8,25.7,-59.6,18.0,80,80,29,364,163,1465.2,721,5.07,3.37,0.63,0.287,0.7,,,3.94,3.59,,16.8,,,,,,,,,,,,,,,,,,,,,,,AL,CHA,163,80,80,N,,N,N,False
1921,Pirates,1578,5946,37,692,623,134,0.057,0.062,0.102,0.301,0.285,0.33,0.387,0.332,88,2.5,-86.5,63.3,17.9,90,63,10,245,154,1415.2,595,3.18,2.05,0.24,0.283,0.691,,,3.17,3.5,,20.6,,,,,,,,,,,,,,,,,,,,,,,NL,Pirates,154,90,63,,,N,N,False
1939,Dodgers,1815,6047,78,708,653,59,0.093,0.106,0.115,0.29,0.265,0.338,0.38,0.335,90,9.3,-66.0,61.2,17.9,84,69,13,295,157,1410.1,645,3.37,2.55,0.59,0.27,0.702,,,3.64,3.99,,17.2,,,,,,,,,,,,,,,,,,,,,,,NL,BRO,157,84,69,,,N,N,False
1990,Indians,1684,6087,110,732,675,107,0.075,0.137,0.124,0.295,0.267,0.324,0.391,0.32,97,-1.5,-19.0,-0.3,17.9,77,85,47,463,162,1427.1,737,5.42,3.27,1.03,0.289,0.721,,,4.27,4.26,,8.1,,,,,,,,,,,,,,,,,,,,,,,AL,Indians,162,77,85,N,,N,N,False
1994,Braves,1531,4349,137,542,510,48,0.087,0.154,0.167,0.29,0.267,0.333,0.434,0.333,97,-3.9,-21.5,59.4,17.9,68,46,26,358,114,1026.1,448,7.59,3.31,0.67,0.286,0.721,,,3.57,3.58,,20.3,,,,,,,,,,,,,,,,,,,,,,,NL,Braves,114,68,46,,,,,False
1993,Indians,1781,6267,141,790,747,159,0.078,0.135,0.133,0.299,0.275,0.335,0.409,0.329,99,10.3,1.3,-21.4,17.9,76,86,45,572,162,1445.2,813,5.53,3.68,1.13,0.301,0.716,,,4.58,4.7,,7.0,,,,,,,,,,,,,,,,,,,,,,,AL,Indians,162,76,86,N,,N,N,False
1962,Red Sox,1880,6177,146,707,671,39,0.085,0.149,0.145,0.285,0.258,0.324,0.403,0.324,90,-4.9,-78.5,76.4,17.9,76,84,40,382,160,1437.2,756,5.78,3.96,1.0,0.278,0.714,,,4.21,4.18,,15.7,,,,,,,,,,,,,,,,,,,,,,,AL,Red Sox,160,76,84,,,N,N,False
1973,Cardinals,2119,6177,75,643,592,100,0.086,0.129,0.098,0.288,0.259,0.325,0.357,0.308,89,4.8,-76.8,55.4,17.9,81,81,36,426,162,1460.2,603,5.34,2.99,0.65,0.271,0.737,,,3.25,3.37,,19.9,,,,,,,,,,,,,,,,,,,,,,,NL,SLN,162,81,81,N,,N,N,False
1924,Indians,1779,6026,41,756,682,85,0.081,0.06,0.104,0.314,0.298,0.362,0.402,0.359,96,8.0,-27.0,-3.3,17.9,67,86,7,272,153,1349.0,811,2.1,3.36,0.29,0.301,0.64,,,4.4,4.19,,13.7,,,,,,,,,,,,,,,,,,,,,,,AL,Indians,153,67,86,,,N,N,False
1961,Cardinals,2053,5937,103,703,657,46,0.083,0.125,0.122,0.296,0.271,0.334,0.393,0.323,86,-0.2,-102.9,81.6,17.9,80,74,24,339,155,1368.2,668,5.41,3.75,0.89,0.276,0.725,,,3.74,3.97,,17.8,,,,,,,,,,,,,,,,,,,,,,,NL,SLN,155,80,74,,,N,N,False
1982,Braves,2154,6231,146,738,687,151,0.089,0.139,0.127,0.279,0.256,0.325,0.383,0.317,94,-0.1,-42.2,3.7,17.9,89,73,51,476,162,1463.0,702,5.0,3.09,0.78,0.286,0.713,,,3.82,3.8,,13.7,,,,,,,,,,,,,,,,,,,,,,,NL,Braves,162,89,73,Y,,N,N,True
1981,Expos/Nationals,1402,4068,81,443,407,138,0.09,0.122,0.124,0.264,0.246,0.316,0.37,0.311,93,12.9,-16.9,51.4,17.9,60,48,23,291,108,975.0,394,4.8,2.47,0.54,0.268,0.717,,,3.3,3.19,,12.5,,,,,,,,,,,,,,,,,,,,,,,NL,MON,108,60,48,Y,,N,N,True
1981,Red Sox,1113,4281,90,519,492,32,0.088,0.121,0.124,0.297,0.275,0.34,0.399,0.338,110,-4.9,39.4,-5.2,17.9,59,49,24,265,108,987.1,481,4.89,3.23,0.82,0.279,0.714,,,3.83,3.86,,7.6,,,,,,,,,,,,,,,,,,,,,,,AL,Red Sox,108,59,49,N,,N,N,False
1936,Braves,1659,6033,67,630,594,23,0.072,0.096,0.091,0.287,0.265,0.322,0.356,0.318,91,2.0,-71.2,56.4,17.9,71,83,13,291,156,1413.1,714,2.68,2.87,0.44,0.289,0.682,,,3.94,4.31,,6.0,,,,,,,,,,,,,,,,,,,,,,,NL,BSN,157,71,83,,,N,N,False
2009,Tigers,2350,6234,183,743,718,72,0.087,0.179,0.156,0.294,0.26,0.331,0.416,0.328,94,0.4,-48.5,13.9,17.9,86,77,42,602,163,1447.0,745,6.85,3.69,1.13,0.293,0.732,0.427,10.6 %,4.34,4.53,4.45,13.5,13023.0,5.0,1.0,9.0,9.0,3.0,25.0,2246.0,1890.0,0.842,471.0,63.0,0.1,,41.0,5.9,-0.2,18.3,2.6,26.5,4.6,32.6,AL,Tigers,163,86,77,N,N,N,N,False
1997,Expos/Nationals,2215,6131,172,691,659,75,0.069,0.177,0.167,0.29,0.258,0.316,0.425,0.323,91,-4.4,-78.2,64.2,17.9,78,84,37,552,162,1447.0,740,7.08,3.46,0.93,0.284,0.701,,,4.14,4.16,,14.6,,,,,,,,,,,,,,,,,,,,,,,NL,MON,162,78,84,N,N,N,N,False
